board,winner
OOOOOOOOOOXXXOOOOOOOOOOXXXOOOOXXXXXOXXXOOXXXXXXXOXXXOOOOXXXXXOXXXOOOOXXXXXOXXXOOOOXXXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
XXXXXXXXXXXXOXXOOOOOOOOOXOXOOOOOOOOOOXOXXXXXXXXXOOXOXXXXXOOOOOOXOXXXOOOOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
OOOOOOOOOOOOXOXXXXXXXXXXOXOXXXXXXXXXXOXOOOOOOOOOXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
XXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXOXOOOOOOOXXXXXXXXXXXXOXXXXXXOOOOOOOXXXXOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
OOOOOOOOXXXXXOOOOOOOOXXXXXOOOXXXXOXXXXXOOXXXXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
OOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOXXOXXXXXOOXXXXXOXXXXXOOXXXXXOXXXXXOOOOXXXOXXXXXOOOXXXXXXXXX OOOOO                     ,0
XXXXXXXXOOOOOXXXXXOOXOOOOOXXOOOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
OXOOOOOOOOO  OXXXXXXXXX   OX           OX           OX           OX           OX           X                                                                             ,1
XXXXXXXXXXXXOXXXXOOOOOOOXOXXOOOOOOOOOXOXXXXXXXOOOOXOXXXXXOOOOOOXOXXXXOOOOOOOXOXXXXXOOOOOOXOXXXXXOOOOOOXOXXXXXOOOOOOXOXXXXXOOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XOXXXXXXXXXXXXOOOOOOOOOOOOXOXOOOOOOOOOOXOXXXXXXXXXXOXOXXXXXOOOOOOXOXXXOOOOOOOOXOXXXXXXXOOOOXOXXXXXOOOOOOXOXXXXXOOOOOOXOXXXXXXOOOOOOXXXXXXOOOOOOXXXXXXOOOOO  XXXX         ,0
  OOOOOOOOOOX   XXXXXXXXX                                                                                                                                                ,1
   OOOOOOOOOO   XXXXXXXXXO           XO           XO           XO           XO           XX                                                                              ,1
XOXXXXXXXXXXXXOOOOOOOOOOOOXOXOOOOOOOOOOXOXXXXXXXXXXOXOXXXXXOOOOOOXOXXXOOOOOOOOXOXXXXXXXOOOOXOXXXXXOOOOOOXOXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XOXXXXXXXXXXXXOOOOOOOOOOOOXOXOOOOOOOOOOOXXXXXXXXXXOOXXXXXXOOOOOOOXXXXOOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOXXXXXXOOXXXXOXXXXOOOOXXXOXXXXOOOOOXXXXXXXXXOOOOXXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOO  XXXX         ,0
XXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXOOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOXXXOOOOOXXXXOXXXXXXOOXXXXOXXXXOOOOXXXXOXXXXOOOOXXXOXXXXXOOOOXXXXXXXXOOOOOXXXXXXOOOOO  XXXX         ,0
OOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOXOXXXXOOOOXXXXOXXXXOOXXXXXXOXXXXOOOXXXXXOXXXXOOOOXXXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
OOOOOOOOOOOOXOOOOOXXXXXXOXOOXXXXXXXXXOXOOOOOOXXXXXOXOOOOOXXXXXXOXOOOOXXXXXXXOXOOOOOOXXXXXOXOOOOOXXXXXXOXOOOOXXXXXXXOXOOOOOOXXXXXOXOOOOOXXXXXXX OOO                       ,0
OOOOOOOOOOOXXOOOOOOOOXXOXXOOOOXXXXXXOXXOOXXXXXXXXOXXOOOOOOXXXXOXXOOOOXXXXXXOXXOOOOXXXXXXOXXOOOOOXXXXXOXXOOOOXXXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
OOOOOOOOOOOXXOOOOOOOOOOOXXOOOOXXXXXXOXXOOXXXXXXXXOXXOOOOOOXXXXOXXOOOOXXXXXXOXXOOOOXXXXXXOXXOOOOOXXXXXOXXOOOOXXXXXXOXXOOOOOXXXXXOXXOOOOXXXXXXXX OOOOO                     ,0
OOOOOXXXXXXXXOOOOXXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
   OOOOOOOOOO   XXXXXXXXXO           XO           XO           XO           XO           XO           XO           XO           XX                                       ,1
OOOOOXXXXXXXXOOOOXXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
OOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXOOXXXXXOOOOXOOOOOOXXOOOOOOOOOXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOOOOXXXXXOOOO                      ,0
OOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOXXOXXXXXOOOXXXXOXXXXXOOXXXXXOXXXXXOOOXXXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXX OOOOO                     ,0
   XXXXXXXXXX  OOOOOOOOOOX           OX           OX           OX           OO                                                                                           ,1
OOXXXXXXXXXXXOOXOXXXXXXXXXOOXOOOOOOOOOOOOXOXOOOOOOOOOXOXXXXXXXXOOOOXXXXXOOOOOOXXXXXOOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOO  XXXXX        ,0
                               X            XO           XO           XO           XO           XO           XO           XO           XO           XO           O       ,0
                                  X            XO           XO           XO           XO           XO           XO           XO           XO           XO           O    ,0
                                    X            XO           XO           XO           XO           XO           XO           XO           XO           XO           O  ,0
XXXOOOOOOOOOOXXXOOOOOOOOOOXXXOOOOOOOOOOXXXOXXOOOOOOOXXXOXXXXXXXXOXXXOXXXXXOOOOXXXOXXXOOOOOOXXXOXXXXXXOOOXXOXXXXXOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXXXXXXOOOXOOOOOOOOOOOOXXXXOOOOOOOOOXXXXXXXXXOOOOXXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXXXXOOOXXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXOOOO  XXXX         ,0
OOOXXXXXXXXXXOOOXXXXXXXXXXOOOXXXXXXXXXXOOOXXXXXXXXXXOOOXOOOOOOOOOOOOXOXOOOOOOOOOOXOXXXXXXXOOOOXOXXXXOOOOOOOXOXXOOOOOOOOXOXXXXXOOOOOOOXXXXXOOOOOXXXXXXOOOOO  XXX          ,0
OOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOXOXXXXXXOOOXXXXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
                                  X            XO           XO           XO           XO           XO           XO           XO           XO           XO           O    ,0
   XXXXXXXXXX  OOOOOOOOOOO                                                                                                                                               ,1
OOOOOOOOXXXXXOOXXXXXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
XXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOXOOOO  XXXXXOXXXX   XXXXXOX      XXXXOX       XXXXX        ,1
OOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXOOOOOOXOOOOOXOOOOXXXOOOOXOOOXXXX OOOOOOO                   ,0
OOOXXXXXXXXXXOOOXXXXXXXXXXOOOXXXXX     OOOX         OOOX         OOOX         OOOX         OOOX         OOOX         OOOX         OOOX           OX           X          ,0
OOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXOOOOOXXOOOOXOOOOXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXX OOOOO                     ,0
XXXXXXXXXXXOOXXXXXXXXOOXOOXXXXOOOOOOXOOXXOOOOOOOOXOOXXXXXXOOOOXOOXXXXOOOOOOXOOXXXXOOOOOOXOOXXXXXOOOOOXOOXXXXOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
OOOOXXXXXXXXXOOOOXXXXXXXXXOOOOXXXXXXXXXOOOXOOOOOOOOOOOOOXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOO  XXXXX        ,0
OOOXXXXXXXXXXOOOXXXXXXXXXXOOOXXXXXXXXXXOOOXXXXXXXXXXOOOXOOOOOOOOOOOOXOXOOOOOOOOOOXOXXXXXXXOOOOXOXXXXOOOOOOOXOXXOOOOOOOOXOXXXXXOOOOOOOXXXXXOOOOOXXXXXXOOOOO  XXX          ,0
XXOOOOOOOOOOOXXOOOOOOOOOOOXXOOXOOOOOOOOXXOXXXXXXXXXOXXOXXXXXOOOOOXXOXXXXOOOOOOXXOXXXXXXOOOOXXOXXXXXOOOOOXXOXXXXXXOOOOXXOXXXXXOOOOOXOXXXXXXOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXXXXXOOOOXXXXXXXXXOOOOXXXXXXXOXOOOOXXXXOOOOXOOOOXXOOOOOOXOOOOXXXOOOOOXOOOOXXXXOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOXXXXXOOOXXXOXXXXXOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXXXXOOOOOXXOOOOOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXXXXOOOOOXXXXXOOXOOOOOXXOOOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXXXXXXOOOXXXXXXXXXXOOOXXXXXXXOOXOOOXXXOOOOOOXOOOXXOOOOOOOXOOOXXXXXXOOOXOOOXXXXOOOOOXOOOXXXOOOOOOXOOOXXXXOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOXXXXXOOXXXXOXXXXOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
OOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOXXXXOXXXXOOXXXXXXOXXXXOOOOXXXXOXXXXOOOXXXXXOXXXXOOOOXXXXOXXXXOOOXXXXXXXXXXOOOOOOOOXXXXXOOOO                      ,0
XXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXOOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOXXXXXOOXXXXOXXXXOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXXXXXXOOOXXXXXXXXXXOOOXXXXXOOOOXOOOXXXOOOOOOXOOOXXXOOOOOOXOOOXXXXXOOOOXOOOXXXXOOOOOXOOOXXXOOOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXXXXXXOOOOXXXXXXXXXOOOOXXXXXXXOXOOOOXXXXOOOOXOOOOXXOOOOOOXOOOOXXXOOOOOXOOOOXXXXOOOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
OOOOXXXXXXXXXOOOOXXXXXXXXXOOOOXXXXXXXXXOOOXOOOOOOOOOOOOOXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOO  XXXXX        ,0
XOXXXXXXXXXXXOOOOOOOOOOOOXOOOOOOXXXXXXXOOOOXXXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXX OOOO                      ,0
XXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXXXXOOOOOXXXXXOOXOOOOOXXOOOOOXOOOOOXXOOOOOXOOOOOXXXXOOOXOOOOOXXXOOOOOOOOOOXXXXXXXOOOO  XXXX         ,0
                                   X            XO           XO           XO           XO           XO           XO           XO           XO           XO           O   ,0
OOXXXXXXXXXXXOOXXXXXXXXXXXOOXOOOOOOXXXXOOXOOOOOXXXXXOOXOOOOOOXXXXOOXOOOOOXXXXXOOXOOOOOOXXXXOXOOOOOOXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXX OOOOO                     ,0
OOOOOOOOOOOXXOOOOOOOOOOOXXOOOOOXXXXXOXXOOOXXXXXXXOXXOOOOXXXXXXOXXOOOOOXXXXXOXXOOOOXXXXXXOXXOOOOOXXXXXOXXOOOOXXXXXXOXXOOOOOXXXXXOXXOOOOXXXX XOXXOOO      XX               ,0
OOOXXXXXXXXXXOOOXXXXXXXXXXOOOXOXXXXXXXXOOOXOOOOOOOOOOOOXOXOOOOOOOOOXOXXXXXXXOOOOOXXXXXOOOOOOXXXXXOOOOOOOXXXXXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOO  XXXXX        ,0
OOOOOOOOXXXXXOOOOOOOOXXXXXOOOXXXXOXXXXXOOXXXXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
XXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXOXXXXXXXOXXXXXXXXXOOOOXXXXXOOOOOOOOXXXXOOOOOOOOOXXXXXXXXXOOOOXXXXXXOOOOOOOXXXXXOOOOOO  XXXXXX       ,0
OOOOOOOOOOOOXOOOXXXXXXXXOXOXXXXXXXXXXOXOOOOOOOOXXXOXOOOOOXXXXXXOXOOOXXXXXXXXOXOOOOOOXXXXXXXOOOOOXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXX OOOOO                     ,0
                                    X            XO           XO           XO           XO           XO           XO           XO           XO           XO           O  ,0
OOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXOOOXXXOXXXXXXOXXXXXXXXXXXXOOOOOOOOOXXXXOOOOOOXXXXXX OOO                       ,0
OXXXXXXXXXXXXOOOOOOOOOOOOXOOOOOOXXXXXXXOOOOXXXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXX OOOO                      ,0
   XXXXXXXXXX  OOOOOOOOOOX           OX           OX           OO                                                                                                        ,1
XXXOOOOOOOOOOXXXOOOOOOOOOOXXXOOOOOOOOOOXXXOOOOOOOOOOXXXOXXXXXXOOOXXXOXXXXXOOOOXXXOXXXXOOOOOXXXOXXXXXXOOOXXXOXXXXXOOOOXXXOXXXXOOOOOXXOXXXXXXOOOOXXXXXXXXOOO  XX           ,0
                                    X            XO           XO           XO           XO           XO           XO           XO           XO           XO           O  ,0
   OOOOOOOOOO   XXXXXXXXXO           XO           XO           XX                                                                                                        ,1
XXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOXXXXXOXOOOOOOXXOOOOXOOOOOOXOOOOOOOOOO  XXXXXXXX     ,0
XXOOOOOOOOOOOXXOOOOOOOOOOOXXOOOOOOOOOOOXXOXXXXXXXXXOXXOXXXXXOOOOOXXOXXXXOOOOOOXXOXXXXXXOOOOXXOXXXXXOOOOOXXOXXXXXXOOOOXXOXXXXXOOOOOXXOXXXXXXOOOOXOXXXXXXOOO  XXXX         ,0
OOXXXXXXXXXXXOOXXXXXXXXXXXOOXOOOOXXXXXXOOXOOOOOOOXXXOOXOOOOOXXXXXOOXOOOOOXXXXXOOXOOOOOOXXXXOOXOOOOOXXXXXOXOOOOOOXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
OOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOOOXXXXXOOOOOOXOXXXXXOOOXXXXOXXXXXOXXXXXXOXXXXXOOOOXXXOXXXXXO     XOXXXXX      XX     ,0
XXXXOOOOOOOOOXXXXXOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
OOOOOXXXXXXXXOOOOXXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
XXXXXXXXXXXXOOOOOOOOOOOOOXOOOOOOXXXXXXXOOOOXXXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXX OOOO                      ,0
XXXXXXXXXOOOOXXXXXXOOXOOOOXXXOOOOOXOOOOXXOOOOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
XXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOOOOXXXXOOOOOOO  XXXXOXXXXX   XXXXOX       XXXXOX       XXXXOX       XXXOX        XXXX                      ,1
OOOOOOOOOOXXXOOOOOOXXXOXXXOOOXXXXXXOXXXOOXXXXXXXOXXXOOOOOOXXXXXXXOOOOOXXXXXXXXOOOOOOOOXXXXXOOOOOOXXXXXXXOOOOOOXXXXXXXOOOOOOOXXXXXXOOOOOOXXXXXX OOOOO                     ,0
XXXXXOOOOOOOOXXXXXOOOOOOOOXXXXOOOOOOOOOXXXXXXXXXXXOOXXXXXXOOOOOOOXXXXOOOOOOOOOXXXXXXXXOOOOOXXXXXXOOOOOOOXXXXXXOOOOOOOXXXXXXXOOOOOOXXXXXXOOOOOOOXXXXXXXOOOO  XXXX         ,0
OOXXXXXXXXXXXOOX          OOX          OOX          OOX          OOX          OOX          OOX          OOX          OOX           OX           X                        ,0
